"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_hertz"
2026-07-29 03:58:15,20.7 MiB,7.95 MiB,7.87 MiB,98.5 MiB,189 MiB,168 MiB,171 MiB,167 MiB,299 MiB,295 MiB,116 MiB,
2026-07-29 03:58:30,17.3 MiB,7.72 MiB,7.90 MiB,98.4 MiB,189 MiB,168 MiB,171 MiB,167 MiB,299 MiB,295 MiB,116 MiB,
2026-07-29 03:58:45,17.0 MiB,7.63 MiB,7.94 MiB,98.4 MiB,190 MiB,168 MiB,171 MiB,168 MiB,299 MiB,295 MiB,116 MiB,
2026-07-29 03:59:00,22.0 MiB,7.94 MiB,7.94 MiB,98.4 MiB,190 MiB,174 MiB,171 MiB,162 MiB,299 MiB,295 MiB,116 MiB,
2026-07-29 03:59:15,22.0 MiB,7.94 MiB,8.96 MiB,98.4 MiB,185 MiB,174 MiB,176 MiB,165 MiB,301 MiB,305 MiB,116 MiB,
2026-07-29 03:59:30,21.0 MiB,8.27 MiB,8.42 MiB,98.5 MiB,186 MiB,170 MiB,176 MiB,171 MiB,302 MiB,305 MiB,116 MiB,
2026-07-29 03:59:45,19.3 MiB,7.90 MiB,8.42 MiB,98.5 MiB,186 MiB,170 MiB,179 MiB,163 MiB,303 MiB,296 MiB,116 MiB,
2026-07-29 04:00:00,22.1 MiB,8.02 MiB,8.17 MiB,98.5 MiB,177 MiB,166 MiB,165 MiB,163 MiB,303 MiB,296 MiB,116 MiB,
2026-07-29 04:00:15,20.2 MiB,8.36 MiB,8.07 MiB,98.4 MiB,187 MiB,175 MiB,172 MiB,170 MiB,304 MiB,298 MiB,133 MiB,
2026-07-29 04:00:30,17.8 MiB,8.18 MiB,8.05 MiB,98.4 MiB,188 MiB,175 MiB,174 MiB,171 MiB,304 MiB,299 MiB,133 MiB,
2026-07-29 04:00:45,18.0 MiB,7.98 MiB,7.74 MiB,98.4 MiB,179 MiB,167 MiB,171 MiB,168 MiB,311 MiB,300 MiB,134 MiB,
2026-07-29 04:01:00,18.0 MiB,8.38 MiB,8.23 MiB,98.4 MiB,179 MiB,169 MiB,171 MiB,168 MiB,311 MiB,302 MiB,124 MiB,
2026-07-29 04:01:15,18.7 MiB,8.14 MiB,7.97 MiB,98.4 MiB,184 MiB,169 MiB,164 MiB,171 MiB,309 MiB,305 MiB,125 MiB,
2026-07-29 04:01:30,18.7 MiB,8.43 MiB,7.97 MiB,98.4 MiB,187 MiB,163 MiB,165 MiB,174 MiB,310 MiB,302 MiB,125 MiB,
2026-07-29 04:01:45,18.5 MiB,7.89 MiB,8.60 MiB,98.4 MiB,187 MiB,163 MiB,177 MiB,173 MiB,307 MiB,302 MiB,125 MiB,
2026-07-29 04:02:00,17.1 MiB,8.25 MiB,7.85 MiB,98.4 MiB,184 MiB,173 MiB,169 MiB,179 MiB,313 MiB,299 MiB,125 MiB,
2026-07-29 04:02:15,18.9 MiB,7.77 MiB,7.79 MiB,98.4 MiB,184 MiB,173 MiB,169 MiB,176 MiB,313 MiB,304 MiB,126 MiB,
2026-07-29 04:02:30,18.1 MiB,7.66 MiB,7.63 MiB,98.4 MiB,180 MiB,178 MiB,169 MiB,174 MiB,310 MiB,300 MiB,126 MiB,
2026-07-29 04:02:45,16.9 MiB,7.66 MiB,8.18 MiB,98.4 MiB,193 MiB,178 MiB,175 MiB,166 MiB,310 MiB,299 MiB,126 MiB,
2026-07-29 04:03:00,18.2 MiB,8.11 MiB,8.18 MiB,98.4 MiB,193 MiB,171 MiB,173 MiB,169 MiB,306 MiB,300 MiB,126 MiB,
2026-07-29 04:03:15,22.4 MiB,7.99 MiB,8.08 MiB,98.4 MiB,193 MiB,171 MiB,170 MiB,169 MiB,308 MiB,300 MiB,126 MiB,
2026-07-29 04:03:30,23.0 MiB,7.99 MiB,7.78 MiB,98.4 MiB,182 MiB,172 MiB,170 MiB,176 MiB,308 MiB,300 MiB,116 MiB,
2026-07-29 04:03:45,23.0 MiB,8.04 MiB,8.20 MiB,98.4 MiB,188 MiB,172 MiB,177 MiB,172 MiB,311 MiB,300 MiB,116 MiB,
2026-07-29 04:04:00,17.8 MiB,8.86 MiB,8.47 MiB,98.4 MiB,188 MiB,171 MiB,182 MiB,172 MiB,311 MiB,300 MiB,116 MiB,
2026-07-29 04:04:15,18.7 MiB,8.45 MiB,8.18 MiB,98.4 MiB,188 MiB,172 MiB,182 MiB,172 MiB,321 MiB,303 MiB,116 MiB,
2026-07-29 04:04:30,18.7 MiB,9.23 MiB,8.07 MiB,98.4 MiB,180 MiB,178 MiB,169 MiB,175 MiB,309 MiB,297 MiB,121 MiB,
2026-07-29 04:04:45,19.1 MiB,7.84 MiB,8.07 MiB,98.4 MiB,186 MiB,173 MiB,178 MiB,179 MiB,316 MiB,303 MiB,124 MiB,
