"Time","cadvisor","compassionate_colden","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","reverent_euclid"
2026-07-30 01:09:30,21.8 MiB,,8.29 MiB,8.51 MiB,116 MiB,170 MiB,162 MiB,171 MiB,165 MiB,302 MiB,288 MiB,100.0 MiB,
2026-07-30 01:09:45,16.8 MiB,,8.30 MiB,7.71 MiB,116 MiB,169 MiB,162 MiB,167 MiB,164 MiB,302 MiB,291 MiB,100.0 MiB,
2026-07-30 01:10:00,23.2 MiB,,8.03 MiB,7.71 MiB,116 MiB,169 MiB,163 MiB,165 MiB,164 MiB,301 MiB,293 MiB,101 MiB,
2026-07-30 01:10:15,22.8 MiB,,8.03 MiB,8.33 MiB,116 MiB,171 MiB,166 MiB,174 MiB,163 MiB,310 MiB,296 MiB,101 MiB,
2026-07-30 01:10:30,19.2 MiB,,8.32 MiB,8.02 MiB,116 MiB,171 MiB,164 MiB,166 MiB,165 MiB,310 MiB,297 MiB,101 MiB,
2026-07-30 01:10:45,19.3 MiB,,8.43 MiB,8.48 MiB,116 MiB,169 MiB,164 MiB,166 MiB,166 MiB,307 MiB,297 MiB,101 MiB,
2026-07-30 01:11:00,20.7 MiB,,8.43 MiB,8.14 MiB,116 MiB,171 MiB,164 MiB,167 MiB,168 MiB,308 MiB,297 MiB,101 MiB,
2026-07-30 01:11:15,20.7 MiB,,8.45 MiB,8.14 MiB,116 MiB,168 MiB,164 MiB,165 MiB,165 MiB,308 MiB,297 MiB,96.8 MiB,
2026-07-30 01:11:30,21.0 MiB,,8.11 MiB,8.38 MiB,116 MiB,168 MiB,164 MiB,165 MiB,166 MiB,314 MiB,303 MiB,96.8 MiB,
2026-07-30 01:11:45,16.5 MiB,,8.28 MiB,8.14 MiB,116 MiB,167 MiB,163 MiB,165 MiB,165 MiB,323 MiB,307 MiB,96.8 MiB,
2026-07-30 01:12:00,18.9 MiB,,8.32 MiB,8.14 MiB,116 MiB,168 MiB,164 MiB,165 MiB,167 MiB,300 MiB,296 MiB,96.8 MiB,
2026-07-30 01:12:15,20.5 MiB,,8.32 MiB,8.05 MiB,116 MiB,168 MiB,166 MiB,165 MiB,165 MiB,301 MiB,297 MiB,96.8 MiB,
2026-07-30 01:12:30,22.7 MiB,,8.18 MiB,8.47 MiB,116 MiB,171 MiB,166 MiB,162 MiB,166 MiB,301 MiB,297 MiB,96.8 MiB,
2026-07-30 01:12:45,22.7 MiB,,8.00 MiB,8.72 MiB,116 MiB,171 MiB,161 MiB,166 MiB,165 MiB,302 MiB,301 MiB,96.8 MiB,
2026-07-30 01:13:00,21.2 MiB,,8.15 MiB,8.72 MiB,116 MiB,168 MiB,163 MiB,166 MiB,173 MiB,306 MiB,298 MiB,92.8 MiB,
2026-07-30 01:13:15,19.5 MiB,,8.44 MiB,8.52 MiB,116 MiB,171 MiB,165 MiB,168 MiB,173 MiB,307 MiB,298 MiB,96.8 MiB,
2026-07-30 01:13:30,21.1 MiB,,8.47 MiB,8.52 MiB,116 MiB,168 MiB,161 MiB,165 MiB,165 MiB,308 MiB,301 MiB,96.8 MiB,
