"Time","busy_dijkstra","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","hopeful_dubinsky","loving_gauss","magical_bhabha","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-28 23:54:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,235 MiB,237 MiB,237 MiB,236 MiB,77.9 MiB,89.9 MiB,59.8 MiB
2026-07-28 23:54:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,235 MiB,237 MiB,235 MiB,237 MiB,83.6 MiB,89.9 MiB,59.8 MiB
2026-07-28 23:55:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,236 MiB,240 MiB,215 MiB,215 MiB,75.7 MiB,84.6 MiB,59.8 MiB
2026-07-28 23:55:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,215 MiB,240 MiB,219 MiB,221 MiB,79.6 MiB,86.9 MiB,59.8 MiB
2026-07-28 23:55:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,215 MiB,224 MiB,225 MiB,221 MiB,83.1 MiB,90.2 MiB,59.8 MiB
2026-07-28 23:55:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,227 MiB,229 MiB,231 MiB,228 MiB,83.1 MiB,87.7 MiB,59.9 MiB
2026-07-28 23:56:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,226 MiB,230 MiB,231 MiB,232 MiB,80.9 MiB,91.3 MiB,59.9 MiB
2026-07-28 23:56:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,228 MiB,231 MiB,233 MiB,232 MiB,80.9 MiB,87.5 MiB,59.9 MiB
2026-07-28 23:56:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,228 MiB,236 MiB,230 MiB,233 MiB,81.0 MiB,84.1 MiB,59.9 MiB
2026-07-28 23:56:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,239 MiB,237 MiB,240 MiB,231 MiB,77.2 MiB,89.6 MiB,59.9 MiB
2026-07-28 23:57:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,239 MiB,237 MiB,239 MiB,240 MiB,76.5 MiB,85.0 MiB,59.9 MiB
2026-07-28 23:57:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,235 MiB,234 MiB,242 MiB,239 MiB,76.5 MiB,76.4 MiB,60.0 MiB
2026-07-28 23:57:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,237 MiB,241 MiB,238 MiB,239 MiB,66.9 MiB,75.1 MiB,60.0 MiB
2026-07-28 23:57:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,237 MiB,243 MiB,242 MiB,243 MiB,66.9 MiB,75.2 MiB,60.0 MiB
2026-07-28 23:58:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,243 MiB,227 MiB,228 MiB,232 MiB,61.3 MiB,75.2 MiB,60.0 MiB
2026-07-28 23:58:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,235 MiB,243 MiB,239 MiB,239 MiB,69.0 MiB,76.4 MiB,60.0 MiB
2026-07-28 23:58:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,237 MiB,242 MiB,245 MiB,239 MiB,64.6 MiB,75.5 MiB,60.0 MiB
2026-07-28 23:58:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,242 MiB,245 MiB,245 MiB,241 MiB,58.9 MiB,74.1 MiB,60.1 MiB
2026-07-28 23:59:00,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,239 MiB,239 MiB,243 MiB,243 MiB,58.9 MiB,68.7 MiB,60.1 MiB
2026-07-28 23:59:15,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,217 MiB,239 MiB,243 MiB,243 MiB,57.3 MiB,62.6 MiB,60.1 MiB
2026-07-28 23:59:30,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,238 MiB,228 MiB,235 MiB,223 MiB,65.0 MiB,75.8 MiB,60.1 MiB
2026-07-28 23:59:45,,26.4 MiB,1.05 MiB,1.22 MiB,196 MiB,,,,238 MiB,228 MiB,241 MiB,223 MiB,66.1 MiB,75.1 MiB,60.1 MiB
