"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dreamy_ardinghelli","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 01:50:45,19.1 MiB,8.20 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,168 MiB,91.7 MiB
2026-07-30 01:51:00,23.3 MiB,8.07 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,168 MiB,91.7 MiB
2026-07-30 01:51:15,23.3 MiB,8.46 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,168 MiB,91.7 MiB
2026-07-30 01:51:30,19.4 MiB,7.95 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,168 MiB,91.7 MiB
2026-07-30 01:51:45,23.8 MiB,7.95 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,168 MiB,91.8 MiB
2026-07-30 01:52:00,23.8 MiB,7.85 MiB,7.04 MiB,,116 MiB,98.6 MiB,91.1 MiB,91.7 MiB,91.7 MiB,276 MiB,168 MiB,91.9 MiB
2026-07-30 01:52:15,20.6 MiB,7.81 MiB,8.12 MiB,,116 MiB,98.6 MiB,142 MiB,91.7 MiB,91.7 MiB,276 MiB,182 MiB,91.9 MiB
2026-07-30 01:52:30,20.6 MiB,7.81 MiB,8.08 MiB,,116 MiB,150 MiB,142 MiB,144 MiB,142 MiB,278 MiB,247 MiB,84.9 MiB
2026-07-30 01:52:45,19.3 MiB,8.05 MiB,8.00 MiB,,116 MiB,150 MiB,145 MiB,145 MiB,144 MiB,280 MiB,248 MiB,84.9 MiB
2026-07-30 01:53:00,19.3 MiB,7.85 MiB,8.14 MiB,,116 MiB,158 MiB,145 MiB,151 MiB,144 MiB,287 MiB,254 MiB,84.6 MiB
2026-07-30 01:53:15,20.2 MiB,7.97 MiB,8.05 MiB,,116 MiB,158 MiB,151 MiB,150 MiB,149 MiB,287 MiB,260 MiB,84.6 MiB
2026-07-30 01:53:30,21.3 MiB,7.67 MiB,7.99 MiB,,116 MiB,150 MiB,151 MiB,150 MiB,150 MiB,283 MiB,261 MiB,84.6 MiB
2026-07-30 01:53:45,16.8 MiB,7.84 MiB,7.99 MiB,,116 MiB,152 MiB,151 MiB,150 MiB,150 MiB,289 MiB,267 MiB,91.5 MiB
2026-07-30 01:54:00,19.4 MiB,7.84 MiB,8.13 MiB,,116 MiB,163 MiB,151 MiB,152 MiB,150 MiB,288 MiB,269 MiB,92.3 MiB
