"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","inspiring_mirzakhani","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 04:30:30,18.2 MiB,8.03 MiB,8.52 MiB,98.9 MiB,,133 MiB,95.3 MiB,98.8 MiB,97.8 MiB,264 MiB,178 MiB,104 MiB
2026-07-29 04:30:45,20.9 MiB,8.28 MiB,8.52 MiB,98.9 MiB,,114 MiB,95.3 MiB,98.8 MiB,97.8 MiB,264 MiB,178 MiB,110 MiB
2026-07-29 04:31:00,18.7 MiB,8.28 MiB,7.08 MiB,98.9 MiB,,115 MiB,95.3 MiB,98.8 MiB,97.8 MiB,264 MiB,178 MiB,110 MiB
2026-07-29 04:31:15,19.6 MiB,8.34 MiB,7.08 MiB,98.9 MiB,,115 MiB,95.3 MiB,98.8 MiB,97.8 MiB,264 MiB,178 MiB,110 MiB
2026-07-29 04:31:30,18.1 MiB,8.09 MiB,7.08 MiB,98.9 MiB,,115 MiB,95.3 MiB,98.8 MiB,97.8 MiB,264 MiB,178 MiB,110 MiB
2026-07-29 04:31:45,17.4 MiB,7.76 MiB,7.08 MiB,98.9 MiB,,115 MiB,95.3 MiB,98.8 MiB,97.8 MiB,264 MiB,178 MiB,110 MiB
2026-07-29 04:32:00,17.4 MiB,7.76 MiB,7.08 MiB,98.9 MiB,,116 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,105 MiB
2026-07-29 04:32:15,18.5 MiB,8.37 MiB,7.08 MiB,98.9 MiB,,113 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,105 MiB
2026-07-29 04:32:30,17.2 MiB,8.00 MiB,7.11 MiB,98.9 MiB,,113 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,105 MiB
2026-07-29 04:32:45,18.4 MiB,7.98 MiB,6.93 MiB,98.9 MiB,,113 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,105 MiB
2026-07-29 04:33:00,18.4 MiB,7.98 MiB,6.93 MiB,98.9 MiB,,113 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,105 MiB
2026-07-29 04:33:15,18.6 MiB,8.52 MiB,6.93 MiB,98.9 MiB,,114 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,105 MiB
2026-07-29 04:33:30,14.5 MiB,7.72 MiB,6.93 MiB,98.9 MiB,,114 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,105 MiB
2026-07-29 04:33:45,18.7 MiB,7.68 MiB,6.93 MiB,98.8 MiB,,114 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,105 MiB
2026-07-29 04:34:00,18.4 MiB,7.68 MiB,6.93 MiB,98.8 MiB,,114 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,98.9 MiB
