"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","distracted_kare","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sweet_jang"
2026-07-29 05:42:00,19.0 MiB,8.58 MiB,8.38 MiB,,99.0 MiB,185 MiB,172 MiB,175 MiB,179 MiB,304 MiB,290 MiB,98.0 MiB,
2026-07-29 05:42:15,21.2 MiB,8.58 MiB,9.03 MiB,,99.0 MiB,203 MiB,177 MiB,176 MiB,179 MiB,310 MiB,295 MiB,98.0 MiB,
2026-07-29 05:42:30,18.8 MiB,8.18 MiB,8.86 MiB,,99.1 MiB,185 MiB,177 MiB,176 MiB,172 MiB,309 MiB,294 MiB,98.1 MiB,
2026-07-29 05:42:45,18.8 MiB,8.68 MiB,8.98 MiB,,99.1 MiB,199 MiB,179 MiB,181 MiB,182 MiB,318 MiB,298 MiB,98.1 MiB,
2026-07-29 05:43:00,18.2 MiB,8.59 MiB,9.43 MiB,,99.0 MiB,196 MiB,194 MiB,191 MiB,182 MiB,324 MiB,300 MiB,98.1 MiB,
2026-07-29 05:43:15,19.4 MiB,9.58 MiB,8.68 MiB,,99.0 MiB,192 MiB,185 MiB,191 MiB,181 MiB,324 MiB,299 MiB,98.1 MiB,
2026-07-29 05:43:30,23.2 MiB,8.79 MiB,8.68 MiB,,99.0 MiB,178 MiB,188 MiB,179 MiB,174 MiB,324 MiB,294 MiB,98.1 MiB,
2026-07-29 05:43:45,20.3 MiB,8.79 MiB,8.09 MiB,,99.0 MiB,183 MiB,182 MiB,179 MiB,174 MiB,305 MiB,298 MiB,98.8 MiB,
2026-07-29 05:44:00,21.4 MiB,9.04 MiB,8.09 MiB,,99.0 MiB,184 MiB,182 MiB,176 MiB,187 MiB,312 MiB,294 MiB,90.9 MiB,
2026-07-29 05:44:15,18.5 MiB,8.80 MiB,8.61 MiB,,99.0 MiB,184 MiB,174 MiB,178 MiB,179 MiB,312 MiB,297 MiB,90.9 MiB,
2026-07-29 05:44:30,21.1 MiB,8.36 MiB,8.79 MiB,,99.0 MiB,189 MiB,184 MiB,183 MiB,182 MiB,319 MiB,299 MiB,90.9 MiB,
2026-07-29 05:44:45,18.8 MiB,8.66 MiB,8.65 MiB,,99.0 MiB,197 MiB,185 MiB,183 MiB,182 MiB,319 MiB,299 MiB,90.9 MiB,
2026-07-29 05:45:00,18.8 MiB,8.59 MiB,9.01 MiB,,99.0 MiB,193 MiB,185 MiB,185 MiB,178 MiB,328 MiB,304 MiB,98.9 MiB,
2026-07-29 05:45:15,19.2 MiB,8.59 MiB,8.73 MiB,,98.7 MiB,187 MiB,185 MiB,178 MiB,184 MiB,328 MiB,307 MiB,98.9 MiB,
2026-07-29 05:45:30,15.3 MiB,8.65 MiB,9.34 MiB,,98.7 MiB,197 MiB,174 MiB,177 MiB,179 MiB,311 MiB,297 MiB,98.9 MiB,
2026-07-29 05:45:45,19.7 MiB,8.52 MiB,9.34 MiB,,98.8 MiB,187 MiB,182 MiB,185 MiB,182 MiB,314 MiB,297 MiB,98.9 MiB,
