"Time","cadvisor","charming_mirzakhani","charming_williams","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 07:09:45,18.6 MiB,,,8.09 MiB,7.92 MiB,98.9 MiB,182 MiB,170 MiB,171 MiB,174 MiB,284 MiB,286 MiB,89.0 MiB
2026-07-29 07:10:00,17.2 MiB,,,8.14 MiB,8.14 MiB,98.9 MiB,183 MiB,171 MiB,168 MiB,174 MiB,284 MiB,286 MiB,89.0 MiB
2026-07-29 07:10:15,18.4 MiB,,,8.14 MiB,7.84 MiB,98.9 MiB,186 MiB,171 MiB,168 MiB,174 MiB,290 MiB,286 MiB,89.2 MiB
2026-07-29 07:10:30,17.3 MiB,,,7.62 MiB,8.11 MiB,98.9 MiB,182 MiB,172 MiB,169 MiB,174 MiB,290 MiB,293 MiB,89.3 MiB
2026-07-29 07:10:45,18.8 MiB,,,8.00 MiB,8.11 MiB,98.9 MiB,185 MiB,172 MiB,169 MiB,174 MiB,291 MiB,293 MiB,89.5 MiB
2026-07-29 07:11:00,17.6 MiB,,,8.00 MiB,7.99 MiB,98.9 MiB,185 MiB,174 MiB,169 MiB,174 MiB,291 MiB,294 MiB,90.2 MiB
2026-07-29 07:11:15,18.3 MiB,,,7.76 MiB,7.93 MiB,98.9 MiB,189 MiB,163 MiB,171 MiB,167 MiB,291 MiB,294 MiB,90.2 MiB
2026-07-29 07:11:30,18.7 MiB,,,7.96 MiB,8.11 MiB,98.9 MiB,185 MiB,165 MiB,173 MiB,169 MiB,291 MiB,294 MiB,90.2 MiB
2026-07-29 07:11:45,20.6 MiB,,,7.85 MiB,7.85 MiB,98.9 MiB,184 MiB,166 MiB,173 MiB,169 MiB,289 MiB,294 MiB,97.2 MiB
2026-07-29 07:12:00,18.5 MiB,,,7.55 MiB,7.89 MiB,98.9 MiB,184 MiB,166 MiB,173 MiB,172 MiB,289 MiB,294 MiB,97.3 MiB
2026-07-29 07:12:15,19.5 MiB,,,7.55 MiB,7.89 MiB,98.9 MiB,185 MiB,168 MiB,173 MiB,172 MiB,289 MiB,294 MiB,104 MiB
2026-07-29 07:12:30,19.5 MiB,,,7.72 MiB,7.76 MiB,98.9 MiB,186 MiB,169 MiB,173 MiB,172 MiB,289 MiB,294 MiB,105 MiB
2026-07-29 07:12:45,20.3 MiB,,,8.18 MiB,7.73 MiB,98.9 MiB,188 MiB,173 MiB,174 MiB,175 MiB,289 MiB,296 MiB,112 MiB
2026-07-29 07:13:00,18.9 MiB,,,8.38 MiB,7.82 MiB,98.9 MiB,177 MiB,168 MiB,178 MiB,171 MiB,296 MiB,297 MiB,112 MiB
2026-07-29 07:13:15,18.5 MiB,,,8.38 MiB,8.26 MiB,98.9 MiB,182 MiB,168 MiB,175 MiB,173 MiB,290 MiB,299 MiB,112 MiB
2026-07-29 07:13:30,17.7 MiB,,,7.99 MiB,8.11 MiB,98.9 MiB,180 MiB,174 MiB,170 MiB,173 MiB,289 MiB,296 MiB,112 MiB
2026-07-29 07:13:45,18.6 MiB,,,8.08 MiB,8.62 MiB,98.9 MiB,186 MiB,176 MiB,175 MiB,173 MiB,294 MiB,296 MiB,112 MiB
2026-07-29 07:14:00,19.2 MiB,,,8.32 MiB,8.60 MiB,98.9 MiB,193 MiB,171 MiB,176 MiB,173 MiB,294 MiB,294 MiB,112 MiB
