"Time","beautiful_archimedes","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 06:29:45,,18.3 MiB,8.66 MiB,8.53 MiB,99.0 MiB,117 MiB,161 MiB,136 MiB,155 MiB,277 MiB,237 MiB,112 MiB
2026-07-30 06:30:00,,18.3 MiB,8.52 MiB,8.53 MiB,99.0 MiB,117 MiB,161 MiB,136 MiB,155 MiB,275 MiB,237 MiB,112 MiB
2026-07-30 06:30:15,,20.2 MiB,8.79 MiB,8.53 MiB,99.0 MiB,117 MiB,161 MiB,136 MiB,155 MiB,275 MiB,237 MiB,111 MiB
2026-07-30 06:30:30,,18.7 MiB,8.79 MiB,8.53 MiB,99.0 MiB,98.2 MiB,161 MiB,91.1 MiB,91.6 MiB,275 MiB,237 MiB,111 MiB
2026-07-30 06:30:45,,19.8 MiB,8.40 MiB,7.73 MiB,99.1 MiB,98.2 MiB,161 MiB,91.1 MiB,91.6 MiB,275 MiB,174 MiB,111 MiB
2026-07-30 06:31:00,,19.7 MiB,8.59 MiB,7.73 MiB,99.1 MiB,98.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,275 MiB,174 MiB,111 MiB
2026-07-30 06:31:15,,20.4 MiB,8.82 MiB,7.73 MiB,99.1 MiB,98.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,275 MiB,174 MiB,111 MiB
2026-07-30 06:31:30,,18.4 MiB,8.80 MiB,7.73 MiB,99.1 MiB,98.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,275 MiB,174 MiB,111 MiB
2026-07-30 06:31:45,,18.0 MiB,8.38 MiB,7.73 MiB,98.7 MiB,98.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,275 MiB,174 MiB,111 MiB
2026-07-30 06:32:00,,18.7 MiB,8.49 MiB,7.73 MiB,98.7 MiB,98.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,275 MiB,174 MiB,111 MiB
2026-07-30 06:32:15,,18.7 MiB,8.49 MiB,7.73 MiB,98.7 MiB,98.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,274 MiB,174 MiB,87.4 MiB
2026-07-30 06:32:30,,17.4 MiB,8.44 MiB,7.73 MiB,98.7 MiB,98.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,274 MiB,174 MiB,87.5 MiB
2026-07-30 06:32:45,,19.1 MiB,8.41 MiB,7.73 MiB,98.7 MiB,97.0 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,174 MiB,93.8 MiB
2026-07-30 06:33:00,,18.5 MiB,8.24 MiB,7.60 MiB,98.7 MiB,97.7 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,175 MiB,93.8 MiB
2026-07-30 06:33:15,,21.4 MiB,8.42 MiB,7.60 MiB,98.7 MiB,98.3 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,175 MiB,95.5 MiB
2026-07-30 06:33:30,,21.4 MiB,8.18 MiB,7.60 MiB,98.7 MiB,98.9 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,95.6 MiB
2026-07-30 06:33:45,,14.4 MiB,8.18 MiB,7.60 MiB,98.8 MiB,99.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,103 MiB
2026-07-30 06:34:00,,18.4 MiB,8.12 MiB,7.60 MiB,98.8 MiB,99.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,103 MiB
2026-07-30 06:34:15,,19.8 MiB,8.12 MiB,7.60 MiB,98.6 MiB,99.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,110 MiB
2026-07-30 06:34:30,,19.8 MiB,8.12 MiB,7.60 MiB,98.6 MiB,99.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,110 MiB
2026-07-30 06:34:45,,21.5 MiB,7.92 MiB,7.60 MiB,98.6 MiB,96.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,110 MiB
2026-07-30 06:35:00,,20.1 MiB,8.07 MiB,7.60 MiB,98.6 MiB,96.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,110 MiB
2026-07-30 06:35:15,,20.1 MiB,8.07 MiB,7.60 MiB,98.6 MiB,96.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,110 MiB
2026-07-30 06:35:30,,20.1 MiB,8.22 MiB,7.60 MiB,98.6 MiB,96.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,110 MiB
2026-07-30 06:35:45,,19.0 MiB,8.13 MiB,7.60 MiB,98.6 MiB,96.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,110 MiB
2026-07-30 06:36:00,,21.5 MiB,7.99 MiB,7.60 MiB,98.6 MiB,96.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:36:15,,21.5 MiB,8.10 MiB,7.60 MiB,98.7 MiB,96.6 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:36:30,,18.5 MiB,8.37 MiB,7.60 MiB,98.7 MiB,96.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:36:45,,18.0 MiB,8.04 MiB,7.60 MiB,98.7 MiB,96.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:37:00,,19.6 MiB,7.81 MiB,7.60 MiB,98.7 MiB,96.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:37:15,,17.3 MiB,8.13 MiB,7.60 MiB,98.7 MiB,96.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:37:30,,18.1 MiB,7.88 MiB,7.60 MiB,98.7 MiB,96.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:37:45,,18.3 MiB,7.88 MiB,7.60 MiB,98.7 MiB,96.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:38:00,,18.3 MiB,8.21 MiB,7.60 MiB,98.7 MiB,96.2 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:38:15,,18.0 MiB,7.90 MiB,7.60 MiB,98.7 MiB,96.8 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,117 MiB
2026-07-30 06:38:30,,20.1 MiB,7.74 MiB,7.60 MiB,98.7 MiB,96.8 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,96.5 MiB
2026-07-30 06:38:45,,20.1 MiB,8.20 MiB,7.60 MiB,98.7 MiB,96.3 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,96.5 MiB
2026-07-30 06:39:00,,18.5 MiB,7.94 MiB,7.60 MiB,98.7 MiB,96.3 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,96.5 MiB
2026-07-30 06:39:15,,18.5 MiB,7.94 MiB,7.60 MiB,98.7 MiB,96.3 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,96.5 MiB
2026-07-30 06:39:30,,19.4 MiB,8.23 MiB,7.60 MiB,98.7 MiB,96.3 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,96.5 MiB
2026-07-30 06:39:45,,19.2 MiB,8.23 MiB,7.60 MiB,98.7 MiB,96.9 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,98.5 MiB
2026-07-30 06:40:00,,19.2 MiB,8.29 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,98.5 MiB
2026-07-30 06:40:15,,19.3 MiB,8.07 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,93.9 MiB
2026-07-30 06:40:30,,22.2 MiB,7.70 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,93.9 MiB
2026-07-30 06:40:45,,20.0 MiB,7.70 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,93.9 MiB
2026-07-30 06:41:00,,17.5 MiB,7.74 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,100 MiB
2026-07-30 06:41:15,,17.4 MiB,8.29 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,100 MiB
2026-07-30 06:41:30,,21.9 MiB,7.69 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,100 MiB
