"Time","cadvisor","charming_taussig","clever_vaughan","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 02:22:00,17.8 MiB,,,8.09 MiB,8.27 MiB,99.8 MiB,188 MiB,169 MiB,174 MiB,168 MiB,304 MiB,290 MiB,114 MiB
2026-07-29 02:22:15,17.7 MiB,,,7.76 MiB,8.27 MiB,99.8 MiB,185 MiB,171 MiB,174 MiB,173 MiB,307 MiB,291 MiB,114 MiB
2026-07-29 02:22:30,18.4 MiB,,,8.48 MiB,8.69 MiB,99.8 MiB,185 MiB,176 MiB,171 MiB,173 MiB,304 MiB,293 MiB,99.1 MiB
2026-07-29 02:22:45,18.4 MiB,,,8.48 MiB,8.02 MiB,99.8 MiB,186 MiB,174 MiB,176 MiB,177 MiB,306 MiB,290 MiB,103 MiB
2026-07-29 02:23:00,19.2 MiB,,,8.03 MiB,8.02 MiB,99.8 MiB,186 MiB,168 MiB,174 MiB,178 MiB,304 MiB,290 MiB,103 MiB
2026-07-29 02:23:15,20.7 MiB,,,8.21 MiB,8.06 MiB,99.8 MiB,189 MiB,172 MiB,177 MiB,173 MiB,307 MiB,290 MiB,104 MiB
2026-07-29 02:23:30,20.3 MiB,,,8.20 MiB,8.49 MiB,99.7 MiB,189 MiB,172 MiB,179 MiB,177 MiB,307 MiB,290 MiB,104 MiB
2026-07-29 02:23:45,21.4 MiB,,,8.15 MiB,8.07 MiB,99.7 MiB,192 MiB,165 MiB,179 MiB,177 MiB,303 MiB,291 MiB,104 MiB
2026-07-29 02:24:00,18.3 MiB,,,8.38 MiB,8.37 MiB,99.7 MiB,184 MiB,169 MiB,176 MiB,171 MiB,306 MiB,292 MiB,104 MiB
2026-07-29 02:24:15,18.3 MiB,,,8.38 MiB,8.48 MiB,99.7 MiB,179 MiB,176 MiB,179 MiB,171 MiB,306 MiB,292 MiB,104 MiB
2026-07-29 02:24:30,19.8 MiB,,,8.18 MiB,8.41 MiB,99.7 MiB,183 MiB,176 MiB,171 MiB,178 MiB,310 MiB,299 MiB,105 MiB
2026-07-29 02:24:45,18.4 MiB,,,8.47 MiB,8.36 MiB,99.7 MiB,181 MiB,175 MiB,171 MiB,172 MiB,308 MiB,293 MiB,96.7 MiB
2026-07-29 02:25:00,18.9 MiB,,,8.17 MiB,8.36 MiB,99.7 MiB,191 MiB,173 MiB,179 MiB,169 MiB,310 MiB,293 MiB,96.7 MiB
2026-07-29 02:25:15,19.7 MiB,,,8.12 MiB,8.15 MiB,99.7 MiB,189 MiB,177 MiB,180 MiB,170 MiB,315 MiB,295 MiB,96.7 MiB
2026-07-29 02:25:30,20.9 MiB,,,7.64 MiB,8.54 MiB,99.7 MiB,190 MiB,178 MiB,172 MiB,174 MiB,304 MiB,286 MiB,103 MiB
2026-07-29 02:25:45,18.6 MiB,,,8.39 MiB,8.26 MiB,99.7 MiB,191 MiB,170 MiB,173 MiB,180 MiB,304 MiB,289 MiB,103 MiB
2026-07-29 02:26:00,17.7 MiB,,,8.39 MiB,8.99 MiB,99.7 MiB,191 MiB,168 MiB,173 MiB,175 MiB,309 MiB,290 MiB,103 MiB
