"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","youthful_cray","zen_agnesi"
2026-07-29 02:56:15,21.6 MiB,7.66 MiB,6.88 MiB,98.9 MiB,123 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,105 MiB,,
2026-07-29 02:56:30,19.6 MiB,8.07 MiB,6.88 MiB,99.0 MiB,123 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,111 MiB,,
2026-07-29 02:56:45,19.6 MiB,8.35 MiB,6.88 MiB,99.0 MiB,124 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,111 MiB,,
2026-07-29 02:57:00,22.8 MiB,8.23 MiB,6.88 MiB,99.0 MiB,124 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,111 MiB,,
2026-07-29 02:57:15,21.7 MiB,7.85 MiB,6.88 MiB,99.0 MiB,124 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,111 MiB,,
2026-07-29 02:57:30,20.0 MiB,7.46 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,111 MiB,,
2026-07-29 02:57:45,19.1 MiB,7.46 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,111 MiB,,
2026-07-29 02:58:00,17.5 MiB,7.72 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,111 MiB,,
2026-07-29 02:58:15,19.3 MiB,7.72 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,111 MiB,,
2026-07-29 02:58:30,18.0 MiB,7.96 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,111 MiB,,
2026-07-29 02:58:45,17.6 MiB,7.96 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,83.2 MiB,,
2026-07-29 02:59:00,18.6 MiB,8.09 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,86.2 MiB,,
2026-07-29 02:59:15,20.6 MiB,8.09 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,86.2 MiB,,
2026-07-29 02:59:30,17.8 MiB,7.87 MiB,6.88 MiB,98.9 MiB,125 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,93.3 MiB,,
2026-07-29 02:59:45,19.8 MiB,8.25 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,99.6 MiB,,
2026-07-29 03:00:00,20.9 MiB,8.25 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,189 MiB,102 MiB,,
2026-07-29 03:00:15,17.7 MiB,7.51 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,189 MiB,103 MiB,,
2026-07-29 03:00:30,18.2 MiB,8.34 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,103 MiB,,
2026-07-29 03:00:45,19.5 MiB,7.47 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,103 MiB,,
2026-07-29 03:01:00,21.3 MiB,8.04 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,190 MiB,103 MiB,,
2026-07-29 03:01:15,17.8 MiB,7.76 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,191 MiB,103 MiB,,
2026-07-29 03:01:30,17.5 MiB,7.76 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,104 MiB,,
2026-07-29 03:01:45,17.5 MiB,8.05 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,104 MiB,,
2026-07-29 03:02:00,18.2 MiB,7.64 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,104 MiB,,
2026-07-29 03:02:15,21.3 MiB,7.49 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,104 MiB,,
2026-07-29 03:02:30,21.3 MiB,8.02 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,104 MiB,,
2026-07-29 03:02:45,18.8 MiB,7.69 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,279 MiB,188 MiB,93.4 MiB,,
2026-07-29 03:03:00,20.0 MiB,7.69 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,276 MiB,188 MiB,93.6 MiB,,
2026-07-29 03:03:15,20.0 MiB,7.35 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,277 MiB,188 MiB,93.6 MiB,,
2026-07-29 03:03:30,20.1 MiB,7.63 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,277 MiB,186 MiB,94.3 MiB,,
2026-07-29 03:03:45,18.0 MiB,7.89 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,277 MiB,186 MiB,95.0 MiB,,
2026-07-29 03:04:00,19.8 MiB,7.59 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,277 MiB,186 MiB,101 MiB,,
2026-07-29 03:04:15,21.6 MiB,7.88 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,277 MiB,186 MiB,108 MiB,,
